"V1","V2"
231,12
231,15
232,1
232,4
232,12
232,13
232,15
233,1
233,3
233,4
233,10
233,14
234,3
234,4
234,10
234,11
234,13
235,2
235,3
235,7
235,12
235,14
236,3
236,5
236,12
236,14
236,15
237,1
237,4
237,5
237,9
237,15
238,4
238,5
238,7
238,9
238,15
239,1
239,4
239,5
239,10
239,15
240,1
240,10
240,14
240,15
240,17
241,1
241,2
241,7
241,10
241,15
242,1
242,2
242,3
242,4
242,17
243,1
243,5
243,7
243,10
243,15
244,1
244,2
244,14
244,15
244,16
245,1
245,2
245,10
245,14
245,16
246,1
246,2
246,7
246,10
246,12
247,1
247,2
247,4
247,10
247,14
248,1
248,3
248,4
248,14
248,17
249,1
249,4
249,7
249,10
249,14
250,7
250,8
250,12
250,13
250,16
251,2
251,3
251,4
251,7
251,13
252,2
252,3
252,7
252,11
252,13
253,1
253,7
253,13
253,15
253,16
254,1
254,2
254,4
254,12
254,13
255,1
255,3
255,7
255,9
255,14
256,5
256,7
256,9
256,12
257,1
257,4
257,7
257,13
258,4
258,7
258,13
258,15
259,4
259,9
259,12
259,14
260,4
260,5
260,7
260,13
261,4
261,7
261,13
261,16
262,1
262,7
262,13
262,16
263,4
263,7
263,13
263,14
264,2
264,7
264,13
264,16
265,5
265,7
265,12
265,15
266,4
266,5
266,7
266,11
267,1
267,2
267,7
267,13
268,2
268,9
268,13
268,14
269,4
269,7
269,12
269,13
270,5
270,7
270,8
270,13
271,5
271,9
271,12
271,15
272,2
272,5
272,9
272,15
273,4
273,5
273,13
273,17
274,2
274,7
274,13
274,17
275,4
275,5
275,12
275,15
276,7
276,9
276,12
276,13
277,4
277,5
277,7
277,12
278,5
278,7
278,13
278,15
279,4
279,5
279,12
279,13
280,4
280,7
280,11
280,13
281,1
281,2
281,13
281,16
282,4
282,11
282,12
282,15
283,4
283,12
283,13
283,15
284,1
284,7
284,11
284,16
285,2
285,12
285,13
285,15
286,1
286,2
286,14
286,15
287,2
287,7
287,13
287,15
288,1
288,5
288,12
288,15
289,5
289,7
289,8
289,15
290,4
290,7
290,13
290,17
291,5
291,7
291,12
291,13
292,7
292,9
292,14
292,16
293,1
293,7
293,13
293,17
294,1
294,2
294,7
294,16
295,9
295,12
295,14
295,15
296,7
296,12
296,13
296,15
297,7
297,8
297,12
297,15
298,5
298,9
298,12
298,14
299,2
299,4
299,5
299,7
300,5
300,7
300,9
300,14
301,7
301,13
301,16
301,17
302,2
302,7
302,15
302,16
303,1
303,2
303,12
303,14
304,7
304,9
304,14
304,15
305,1
305,9
305,12
305,15
306,7
306,9
306,13
306,15
307,5
307,7
307,8
307,12
308,4
308,9
308,12
308,15
309,7
309,8
309,9
309,12
310,7
310,9
310,12
310,15
311,4
311,11
311,13
311,16
312,7
312,11
312,13
312,16
313,7
313,13
313,15
313,16
314,1
314,2
314,7
314,12
315,5
315,8
315,12
315,13
316,5
316,7
316,9
316,15
317,2
317,5
317,12
317,13
318,7
318,8
318,12
318,13
319,1
319,7
319,9
319,12
320,8
320,12
320,13
320,15
321,5
321,8
321,12
321,15
322,2
322,4
322,11
322,13
323,1
323,2
323,12
323,13
324,2
324,4
324,7
324,15
325,1
325,2
325,7
325,17
326,1
326,12
326,13
326,17
327,1
327,2
327,5
327,13
328,2
328,7
328,8
328,15
329,3
329,4
329,9
329,11
330,4
330,11
330,13
330,17
331,1
331,2
331,13
331,17
332,7
332,8
332,13
332,15
333,1
333,4
333,5
333,7
334,2
334,4
334,13
334,16
335,2
335,5
335,7
